SITE_ID,SITE_NUM,SITE_NAME,ACTIVE,INACTIVE,AGENCY,STATE,COUNTY,TIME_ZONE,LATITUDE,LONGITUDE,ELEVATION,MAPID,LAND_USE,TERRAIN,MLM,NADP_ID,NADP_DISTANCE,UPDATE_DATE
JOT403,403,Joshua Tree NP,dom,,NPS,CA,San Bernardino,PA,34.069569,-116.388933,1244.0,,Desert,Complex,No,CA67,0.008,2020-01-30 13:25:29
KEF112,112,Kane Exp. Forest,dom,,EPA,PA,Elk,EA,41.598119,-78.767866,618.0,"James City, PA",Forest,Rolling,Yes,PA29,0.047,2020-01-30 13:25:29
KIC003,3,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas,dm,,EPA,KS,Brown,CE,39.8539,-95.6578,367.0,,Prairie,Rolling,Yes,KS97,10.562,2020-01-30 13:25:29
KNZ184,184,Konza Prairie,dm,o,EPA,KS,Riley,CE,39.10216,-96.609583,346.0,,Prairie,Flat,Yes,KS31,0.033,2020-01-30 13:25:29
KVA428,428,Kobuk Valley NP,,dm,NPS,AK,,AL,67.0931,-157.8689,88.0,,,,,AK96,386.969,2020-01-30 13:25:29
LAV410,410,Lassen Volcanic NP,dom,,NPS,CA,Shasta,PA,40.539991,-121.576462,1756.0,,Forest,Complex,No,CA96,0.127,2020-01-30 13:25:29
LCW121,121,Lilley C. Woods,,dom,EPA,KY,Letcher,EA,37.13,-82.99,335.0,"Roxana, KY",Agric,Rolling,Mixed,KY22,5.802,2020-01-30 13:25:29
LIV573,573,Livonia Aerosol,,ai,EPA,IN,Washington,EAno,38.5347,-86.2608,299.0,,Agric,Rolling,,KY19,62.924,2020-01-30 13:25:29
LPO010,10,La Posta Band of Indians,dom,,EPA,CA,San Diego,PA,32.725189,-116.36441,1372.0,,Range,Complex,,CA67,149.0,2023-01-20 00:00:00
LRL117,117,Laurel Hill,dom,,EPA,PA,Somerset,EA,39.988309,-79.251573,609.0,"Rockwood, PA",Forest,Complex,No,MD08,37.511,2020-01-30 13:25:29
LYE145,145,Lye Brook,,domw,EPA,VT,Bennington,EA,43.050884,-73.061334,725.0,"Sunderland, VT",Forest,Mountaintop,No,VT01,21.124,2020-01-30 13:25:29
